Number of points,"Execution time using MPI on 4 cores, average of 5 repeats (in ms)"
100,2.986820018850267
220,6.416700000409037
460,18.56647999957204
1000,84.47599998908117
2150,434.79593999218196
4640,1891.8963000178337
10000,9640.965959988534
